table,column,reference,mapping_id,json_path,variant,allowed_values,source_pointer
STR_REPORT,report_type_code,REF_TYPE_RAPPORT,F0001,$.reportDetails.reportTypeCode,,"[14, 102, 106, 113, 145]",#/components/schemas/reportTypeCode
STR_REPORT,submit_type_code,REF_TYPE_SOUMISSION,F0002,$.reportDetails.submitTypeCode,,"[1, 2, 5]",#/components/schemas/submitTypeCode
STR_REPORT,activity_sector_code,REF_SECTEUR_ACTIVITE,F0003,$.reportDetails.activitySectorCode,,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28]",#/components/schemas/activitySectorCode
STR_REPORT,ministerial_directive_code,REF_DIRECTIVE,F0008,$.reportDetails.ministerialDirectiveCode,,"[""IR2020""]",#/components/schemas/ministerialDirectiveCode
STR_REPORT,suspicion_type_code,REF_TYPE_SOUPCON,F0010,$.detailsOfSuspicion.suspicionTypeCode,,"[1, 2, 3, 4, 5, 6, 7]",#/components/schemas/STRReport/properties/detailsOfSuspicion/properties/suspicionTypeCode
STR_PPP_PROJECT,project_name_code,REF_PROJET_PPP,F0011,$.detailsOfSuspicion.publicPrivatePartnershipProjectNameCodes[],,"[1, 2, 3, 5, 6, 7, 8]",#/components/schemas/STRReport/properties/detailsOfSuspicion/properties/publicPrivatePartnershipProjectNameCodes/items
STR_DEFINITION,type_code,REF_TYPE_DEFINITION,F0016,$.definitions[].typeCode,PersonName,[1],#/components/schemas/PersonName/properties/typeCode
STR_DEFINITION,type_code,REF_TYPE_DEFINITION,F0021,$.definitions[].typeCode,EntityName,[2],#/components/schemas/EntityName/properties/typeCode
STR_DEFINITION,type_code,REF_TYPE_DEFINITION,F0024,$.definitions[].typeCode,PersonDetails,[3],#/components/schemas/PersonDetails/properties/typeCode
STR_DEFINITION,type_code,REF_TYPE_DEFINITION,F0063,$.definitions[].typeCode,EntityDetails,[4],#/components/schemas/EntityDetails/properties/typeCode
STR_DEFINITION,type_code,REF_TYPE_DEFINITION,F0108,$.definitions[].typeCode,personAndEmployerDetails,[5],#/components/schemas/personAndEmployerDetails/properties/typeCode
STR_DEFINITION,type_code,REF_TYPE_DEFINITION,F0168,$.definitions[].typeCode,entityAndBeneficialOwnershipDetails,[6],#/components/schemas/entityAndBeneficialOwnershipDetails/properties/typeCode
STR_PERSON,country_of_residence_code,REF_PAYS,F0033,$.definitions[].countryOfResidenceCode,PersonDetails,"[""CA"", ""US"", ""AD"", ""AE"", ""AF"", ""AG"", ""AI"", ""AL"", ""AM"", ""AN"", ""AO"", ""AQ"", ""AR"", ""AS"", ""AT"", ""AU"", ""AW"", ""AX"", ""AZ"", ""BA"", ""BB"", ""BD"", ""BE"", ""BF"", ""BG"", ""BH"", ""BI"", ""BJ"", ""BL"", ""BM"", ""BN"", ""BO"", ""BQ"", ""BR"", ""BS"", ""BT"", ""BV"", ""BW"", ""BY"", ""BZ"", ""CC"", ""CD"", ""CF"", ""CG"", ""CH"", ""CI"", ""CK"", ""CL"", ""CM"", ""CN"", ""CO"", ""CR"", ""CS"", ""CU"", ""CV"", ""CW"", ""CX"", ""CY"", ""CZ"", ""DE"", ""DJ"", ""DK"", ""DM"", ""DO"", ""DZ"", ""EC"", ""EE"", ""EG"", ""EH"", ""ER"", ""ES"", ""ET"", ""FI"", ""FJ"", ""FK"", ""FM"", ""FO"", ""FR"", ""FX"", ""GA"", ""GB"", ""GD"", ""GE"", ""GF"", ""GG"", ""GH"", ""GI"", ""GL"", ""GM"", ""GN"", ""GP"", ""GQ"", ""GR"", ""GS"", ""GT"", ""GU"", ""GW"", ""GY"", ""HK"", ""HM"", ""HN"", ""HR"", ""HT"", ""HU"", ""ID"", ""IE"", ""IL"", ""IM"", ""IN"", ""IO"", ""IQ"", ""IR"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""JP"", ""KE"", ""KG"", ""KH"", ""KI"", ""KM"", ""KN"", ""KP"", ""KR"", ""KW"", ""KY"", ""KZ"", ""LA"", ""LB"", ""LC"", ""LI"", ""LK"", ""LR"", ""LS"", ""LT"", ""LU"", ""LV"", ""LY"", ""MA"", ""MC"", ""MD"", ""ME"", ""MF"", ""MG"", ""MH"", ""MK"", ""ML"", ""MM"", ""MN"", ""MO"", ""MP"", ""MQ"", ""MR"", ""MS"", ""MT"", ""MU"", ""MV"", ""MW"", ""MX"", ""MY"", ""MZ"", ""NA"", ""NC"", ""NE"", ""NF"", ""NG"", ""NI"", ""NL"", ""NO"", ""NP"", ""NR"", ""NU"", ""NZ"", ""OM"", ""PA"", ""PE"", ""PF"", ""PG"", ""PH"", ""PK"", ""PL"", ""PM"", ""PN"", ""PR"", ""PS"", ""PT"", ""PW"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SA"", ""SB"", ""SC"", ""SD"", ""SE"", ""SG"", ""SH"", ""SI"", ""SJ"", ""SK"", ""SL"", ""SM"", ""SN"", ""SO"", ""SR"", ""SS"", ""ST"", ""SV"", ""SX"", ""SY"", ""SZ"", ""TC"", ""TD"", ""TF"", ""TG"", ""TH"", ""TJ"", ""TK"", ""TL"", ""TM"", ""TN"", ""TO"", ""TR"", ""TT"", ""TV"", ""TW"", ""TZ"", ""UA"", ""UG"", ""UM"", ""UY"", ""UZ"", ""VA"", ""VC"", ""VE"", ""VG"", ""VI"", ""VN"", ""VU"", ""WF"", ""WS"", ""YE"", ""YT"", ""ZA"", ""ZM"", ""ZW"", ""ZZ""]",#/components/schemas/CountryCode
STR_PERSON,country_of_residence_code,REF_PAYS,F0135,$.definitions[].countryOfResidenceCode,personAndEmployerDetails,"[""CA"", ""US"", ""AD"", ""AE"", ""AF"", ""AG"", ""AI"", ""AL"", ""AM"", ""AN"", ""AO"", ""AQ"", ""AR"", ""AS"", ""AT"", ""AU"", ""AW"", ""AX"", ""AZ"", ""BA"", ""BB"", ""BD"", ""BE"", ""BF"", ""BG"", ""BH"", ""BI"", ""BJ"", ""BL"", ""BM"", ""BN"", ""BO"", ""BQ"", ""BR"", ""BS"", ""BT"", ""BV"", ""BW"", ""BY"", ""BZ"", ""CC"", ""CD"", ""CF"", ""CG"", ""CH"", ""CI"", ""CK"", ""CL"", ""CM"", ""CN"", ""CO"", ""CR"", ""CS"", ""CU"", ""CV"", ""CW"", ""CX"", ""CY"", ""CZ"", ""DE"", ""DJ"", ""DK"", ""DM"", ""DO"", ""DZ"", ""EC"", ""EE"", ""EG"", ""EH"", ""ER"", ""ES"", ""ET"", ""FI"", ""FJ"", ""FK"", ""FM"", ""FO"", ""FR"", ""FX"", ""GA"", ""GB"", ""GD"", ""GE"", ""GF"", ""GG"", ""GH"", ""GI"", ""GL"", ""GM"", ""GN"", ""GP"", ""GQ"", ""GR"", ""GS"", ""GT"", ""GU"", ""GW"", ""GY"", ""HK"", ""HM"", ""HN"", ""HR"", ""HT"", ""HU"", ""ID"", ""IE"", ""IL"", ""IM"", ""IN"", ""IO"", ""IQ"", ""IR"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""JP"", ""KE"", ""KG"", ""KH"", ""KI"", ""KM"", ""KN"", ""KP"", ""KR"", ""KW"", ""KY"", ""KZ"", ""LA"", ""LB"", ""LC"", ""LI"", ""LK"", ""LR"", ""LS"", ""LT"", ""LU"", ""LV"", ""LY"", ""MA"", ""MC"", ""MD"", ""ME"", ""MF"", ""MG"", ""MH"", ""MK"", ""ML"", ""MM"", ""MN"", ""MO"", ""MP"", ""MQ"", ""MR"", ""MS"", ""MT"", ""MU"", ""MV"", ""MW"", ""MX"", ""MY"", ""MZ"", ""NA"", ""NC"", ""NE"", ""NF"", ""NG"", ""NI"", ""NL"", ""NO"", ""NP"", ""NR"", ""NU"", ""NZ"", ""OM"", ""PA"", ""PE"", ""PF"", ""PG"", ""PH"", ""PK"", ""PL"", ""PM"", ""PN"", ""PR"", ""PS"", ""PT"", ""PW"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SA"", ""SB"", ""SC"", ""SD"", ""SE"", ""SG"", ""SH"", ""SI"", ""SJ"", ""SK"", ""SL"", ""SM"", ""SN"", ""SO"", ""SR"", ""SS"", ""ST"", ""SV"", ""SX"", ""SY"", ""SZ"", ""TC"", ""TD"", ""TF"", ""TG"", ""TH"", ""TJ"", ""TK"", ""TL"", ""TM"", ""TN"", ""TO"", ""TR"", ""TT"", ""TV"", ""TW"", ""TZ"", ""UA"", ""UG"", ""UM"", ""UY"", ""UZ"", ""VA"", ""VC"", ""VE"", ""VG"", ""VI"", ""VN"", ""VU"", ""WF"", ""WS"", ""YE"", ""YT"", ""ZA"", ""ZM"", ""ZW"", ""ZZ""]",#/components/schemas/CountryCode
STR_PERSON,address_type_code,REF_TYPE_ADRESSE,F0036,$.definitions[].addressTypeCode,PersonDetails,"[1, 2]",#/components/schemas/addressTypeCode
STR_PERSON,address_type_code,REF_TYPE_ADRESSE,F0114,$.definitions[].addressTypeCode,personAndEmployerDetails,"[1, 2]",#/components/schemas/addressTypeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0037,$.definitions[].address.typeCode,PersonDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0051,$.definitions[].address.typeCode,PersonDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0070,$.definitions[].address.typeCode,EntityDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0084,$.definitions[].address.typeCode,EntityDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0115,$.definitions[].address.typeCode,personAndEmployerDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0129,$.definitions[].address.typeCode,personAndEmployerDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0140,$.definitions[].employerInformation.address.typeCode,personAndEmployerDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0154,$.definitions[].employerInformation.address.typeCode,personAndEmployerDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0172,$.definitions[].address.typeCode,entityAndBeneficialOwnershipDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0186,$.definitions[].address.typeCode,entityAndBeneficialOwnershipDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0219,$.definitions[].directorsOfCorporation[].address.typeCode,entityAndBeneficialOwnershipDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0233,$.definitions[].directorsOfCorporation[].address.typeCode,entityAndBeneficialOwnershipDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0245,$.definitions[].trusteesOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0259,$.definitions[].trusteesOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0268,$.definitions[].settlorsOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0282,$.definitions[].settlorsOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0291,$.definitions[].personsOwningUnitsOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0305,$.definitions[].personsOwningUnitsOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; UnstructuredAddress,[2],#/components/schemas/UnstructuredAddress/properties/typeCode
STR_ADDRESS,type_code,REF_TYPE_ADRESSE,F0314,$.definitions[].beneficiariesOfTrust[].address.typeCode,entityAndBeneficialOwnershipDetails; StructuredAddress,[1],#/components/schemas/StructuredAddress/properties/typeCode
