table,json_path,source_pointer,line,kind,required_in_parent,minItems,additionalProperties,storage
STR_COMPLETING_ACTION,$.transactions[].completingActions[].details.sendingVirtualCurrencyAddresses,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/details/properties/sendingVirtualCurrencyAddresses,1763,array,True,,non précisé,STR_COMPLETING_ACTION_VC_SENDER
STR_COMPLETING_ACTION,$.transactions[].completingActions[].details.receivingVirtualCurrencyAddresses,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/details/properties/receivingVirtualCurrencyAddresses,1767,array,True,,non précisé,STR_COMPLETING_ACTION_VC_RECEIVER
STR_COMPLETING_ACTION,$.transactions[].completingActions[].details.account,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/details/properties/account,1775,object,False,,False,STR_COMPLETING_ACTION_ACCOUNT
STR_COMPLETING_ACTION_ACCOUNT,$.transactions[].completingActions[].details.account.holders,#/components/schemas/strAccount/properties/holders,6181,array,True,,non précisé,STR_COMPLETING_ACTION_ACCOUNT_HOLDER
STR_COMPLETING_ACTION,$.transactions[].completingActions[].involvements,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/involvements,1787,array,True,,non précisé,STR_INVOLVEMENT
STR_INVOLVEMENT,$.transactions[].completingActions[].involvements[].details,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/involvements/items/properties/details,1797,object,False,,False,Colonnes details_* de STR_INVOLVEMENT
STR_COMPLETING_ACTION,$.transactions[].completingActions[].beneficiaries,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/beneficiaries,1810,array,True,,non précisé,STR_BENEFICIARY
STR_BENEFICIARY,$.transactions[].completingActions[].beneficiaries[].details,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/beneficiaries/items/properties/details,1820,object,False,,False,Colonnes details_* de STR_BENEFICIARY
STR_SUBMIT_RESPONSE,SubmitReportResponse$.message,#/components/schemas/SubmitReportResponse/properties/message,5249,object,False,,non précisé,Colonnes message_* de STR_SUBMIT_RESPONSE
STR_SUBMIT_RESPONSE,SubmitReportResponse$.payload,#/components/schemas/SubmitReportResponse/properties/payload,5259,object,False,,non précisé,Colonnes payload_* de STR_SUBMIT_RESPONSE
STR_SUBMIT_RESPONSE,SubmitReportResponse$.payload.validationMessages,#/components/schemas/SubmitReportResponse/properties/payload/properties/validationMessages,5270,array,False,,non précisé,STR_SUBMIT_RESPONSE_MESSAGE
STR_SUBMIT_RESPONSE_MESSAGE,SubmitReportResponse$.payload.validationMessages[].error,#/components/schemas/ValidationMessage/properties/error,5100,object,False,,non précisé,Colonnes error_* de STR_SUBMIT_RESPONSE_MESSAGE
STR_VALIDATION_RESULT,Validations$.status,#/components/schemas/Validations/properties/status,5122,object,False,,non précisé,Colonnes status_* de STR_VALIDATION_RESULT
STR_VALIDATION_RESULT,Validations$.acknowledgements,#/components/schemas/Validations/properties/acknowledgements,5162,array,False,,non précisé,STR_VALIDATION_RESULT_ACK
STR_VALIDATION_RESULT_ACK,Validations$.acknowledgements[].validationMessages,#/components/schemas/Validations/properties/acknowledgements/items/properties/validationMessages,5177,array,False,,non précisé,STR_VALIDATION_RESULT_ACK_MESSAGE
STR_VALIDATION_RESULT_ACK_MESSAGE,Validations$.acknowledgements[].validationMessages[].error,#/components/schemas/ValidationMessage/properties/error,5100,object,False,,non précisé,Colonnes error_* de STR_VALIDATION_RESULT_ACK_MESSAGE
STR_VALIDATION_RESULT_ACK_MESSAGE,Validations$.acknowledgements[].validationMessages[].params,#/components/schemas/SchemaValidationMessages/properties/params,5606,object,False,,False,Colonnes params_* de STR_VALIDATION_RESULT_ACK_MESSAGE
STR_VALIDATION_RESULT_ACK_MESSAGE,Validations$.acknowledgements[].validationMessages[].params,#/components/schemas/SchemaValidationMessages/properties/params,5606,empty object,False,,False,Objet vide {}; présence dans le parent
STR_VALIDATION_RESULT_ACK_MESSAGE,Validations$.acknowledgements[].validationMessages[].message,#/components/schemas/SchemaValidationMessages/properties/message,5609,object,False,,non précisé,Colonnes message_* de STR_VALIDATION_RESULT_ACK_MESSAGE
STR_API_ERROR,ErrorWithValidation$.message,#/components/schemas/ErrorWithValidation/properties/message,5581,object,False,,non précisé,Colonnes message_* de STR_API_ERROR
STR_API_ERROR,ErrorWithValidation$.payload,#/components/schemas/ErrorWithValidation/properties/payload,5590,object,False,,non précisé,Colonnes payload_* de STR_API_ERROR
STR_API_ERROR,ErrorWithValidation$.payload.validationMessages,#/components/schemas/ErrorWithValidation/properties/payload/properties/validationMessages,5593,array,False,,non précisé,STR_API_ERROR_MESSAGE
STR_API_ERROR_MESSAGE,ErrorWithValidation$.payload.validationMessages[].error,#/components/schemas/ValidationMessage/properties/error,5100,object,False,,non précisé,Colonnes error_* de STR_API_ERROR_MESSAGE
STR_DELETE_REQUEST,DeleteReport$.reportDetails,#/components/schemas/DeleteReport/properties/reportDetails,5204,object,True,,non précisé,Colonnes report_details_* de STR_DELETE_REQUEST
