mapping_id,table,column,source_pointer,traitement,reference
F0159,STR_IDENTIFICATION,identifier_type_code,#/components/schemas/personIdentificationWithJurisdiction/properties/identifierTypeCode,FK_VERSIONNEE,REF_TYPE_IDENTIFICATION
F0162,STR_IDENTIFICATION,jurisdiction_country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0163,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0164,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0165,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0168,STR_DEFINITION,type_code,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/typeCode,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0171,STR_ENTITY,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0172,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0178,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0179,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0180,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0185,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0186,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0187,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0191,STR_IDENTIFICATION,identifier_type_code,#/components/schemas/entityIdentificationWithJurisdiction/properties/identifierTypeCode,FK_VERSIONNEE,REF_TYPE_IDENTIFICATION
F0194,STR_IDENTIFICATION,jurisdiction_country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0195,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0196,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0197,STR_IDENTIFICATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0203,STR_ENTITY,structure_type_code,#/components/schemas/entityAndBeneficialOwnershipDetails/properties/structureTypeCode,FK_VERSIONNEE,REF_STRUCTURE_ENTITE
F0207,STR_REGISTRATION_INCORPORATION,type_code,#/components/schemas/IncorporationRegistrationTypeCode,FK_VERSIONNEE,REF_TYPE_ENREGISTREMENT
F0209,STR_REGISTRATION_INCORPORATION,jurisdiction_country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0210,STR_REGISTRATION_INCORPORATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0211,STR_REGISTRATION_INCORPORATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0212,STR_REGISTRATION_INCORPORATION,jurisdiction_province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0218,STR_DIRECTOR,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0219,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0225,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0226,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0227,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0232,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0233,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0234,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0244,STR_TRUSTEE,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0245,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0251,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0252,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0253,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0258,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0259,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0260,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0267,STR_SETTLOR,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
